Side,Type,Year,Month,DESTINATION City,Total of Flights,Total of Passengers
IN,Domestic,2021,Jan,Riyadh,4080,458875
OUT,Domestic,2021,Jan,Abha,403,45246
OUT,Domestic,2021,Jan,Al-Jawf,122,11344
OUT,Domestic,2021,Jan,Al-Ula,18,1187
OUT,Domestic,2021,Jan,Arar,109,9765
OUT,Domestic,2021,Jan,Bisha,95,9800
OUT,Domestic,2021,Jan,Dammam,400,37922
OUT,Domestic,2021,Jan,Al-Bahah,61,6577
OUT,Domestic,2021,Jan,"	Qassim",43,3802
OUT,Domestic,2021,Jan,Jizan,339,33370
OUT,Domestic,2021,Jan,Qurayyat,79,6206
OUT,Domestic,2021,Jan,Hafr Al-batin,60,5999
OUT,Domestic,2021,Jan,Hail,154,15058
OUT,Domestic,2021,Jan,Jeddah,1213,161173
OUT,Domestic,2021,Jan,Madinah,323,30349
OUT,Domestic,2021,Jan,Najran,118,12111
OUT,Domestic,2021,Jan,Rafha,21,2201
OUT,Domestic,2021,Jan,Sharurah,40,4109
OUT,Domestic,2021,Jan,Tabuk,232,22285
OUT,Domestic,2021,Jan,Taif,152,15724
OUT,Domestic,2021,Jan,Turaif,26,2152
OUT,Domestic,2021,Jan,WADI AL-DAWASER,31,2739
OUT,Domestic,2021,Jan,Al Wajh,10,582
OUT,Domestic,2021,Jan,Yenbo,31,3249
IN,Domestic,2021,Feb,Riyadh,3584,344328
OUT,Domestic,2021,Feb,Abha,387,36110
OUT,Domestic,2021,Feb,Al-Jawf,111,9572
OUT,Domestic,2021,Feb,Al-Ula,20,1439
OUT,Domestic,2021,Feb,Arar,82,7547
OUT,Domestic,2021,Feb,Bisha,72,6750
OUT,Domestic,2021,Feb,Dammam,340,25905
OUT,Domestic,2021,Feb,Al-Bahah,55,4735
OUT,Domestic,2021,Feb,"	Qassim",41,2875
OUT,Domestic,2021,Feb,Jizan,332,27049
OUT,Domestic,2021,Feb,Qurayyat,55,4564
OUT,Domestic,2021,Feb,Hafr Al-batin,50,4470
OUT,Domestic,2021,Feb,Hail,135,11769
OUT,Domestic,2021,Feb,Jeddah,1060,116166
OUT,Domestic,2021,Feb,Madinah,244,21596
OUT,Domestic,2021,Feb,Najran,109,10157
OUT,Domestic,2021,Feb,Rafha,20,1871
OUT,Domestic,2021,Feb,Sharurah,35,2941
OUT,Domestic,2021,Feb,Tabuk,210,18124
OUT,Domestic,2021,Feb,Taif,138,11116
OUT,Domestic,2021,Feb,Turaif,24,1742
OUT,Domestic,2021,Feb,WADI AL-DAWASER,28,2188
OUT,Domestic,2021,Feb,Al Wajh,8,419
OUT,Domestic,2021,Feb,Yenbo,28,2470
IN,Domestic,2021,Mar,Riyadh,3857,411554
